"Year","Page","Section","Score","Strength","Stage","SDGs","Tags","Quant","Oversight","Summary","Text"
2019,82,"RESEARCH AND DEVELOPMENT",8,"strong","In progress","SDG 13, SDG 15","initiative, measured_outcome","✓","✓","Coromandel, through the Green Visakha initiative, developed green cover on 22 acres of land with 20,000 plants, contributing to the district's 43% green cover.","Visakhapatnam Unit has developed green cover in 22 acers(20,000 plants) of land with the help of District Forest Officer & VUDA through ‘Green Visakha’ initiative. The Vizag district is now covered with 43% green cover."
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",8,"strong","Measurable","SDG 3","kpi, measured_outcome","✓","","The company's Total Recordable Injury Rate (TRIR) per million man hours was 0.48 during the year.","During the year, the Total Recordable Injury Rate (TRIR) per million man hours stood at 0.48."
2019,82,"RESEARCH AND DEVELOPMENT",7,"strong","In progress","SDG 3","initiative, measured_outcome","✓","","Coromandel Medical Centers served 73,268 patients and the mobile medical van service reached 13,363 people in 2018-19.","In 2018-19, around 73,268 patients availed the services of Coromandel Medical Centers, while 13,363 people benefited from the mobile medical van service."
2019,82,"RESEARCH AND DEVELOPMENT",7,"strong","Measurable","SDG 3","measured_outcome","✓","","The company provided healthcare services to a significant number of patients.","In 2018-19, around 73,268 patients availed the services of Coromandel Medical Centers, while 13,363 people benefited from the mobile medical van service."
2019,82,"RESEARCH AND DEVELOPMENT",7,"strong","In progress","SDG 6, SDG 12","policy, initiative, target","✓","","The Vizag unit recycles 88% of overall wastewater and 100% from complex production.","In Vizag unit the waste water recycling and consumption is accounted to 88% of overall waste water generated from process and 100% from complex production process"
2019,82,"RESEARCH AND DEVELOPMENT",6,"strong","In progress","SDG 4, SDG 5","initiative, target","✓","","The Coromandel Girl Child Scholarship Scheme aims to keep girls in government schools enrolled in education.","The scheme reaches out to girl children in government schools in standards IX and X in ensuring girls continue their education and do not drop out of school."
2019,82,"RESEARCH AND DEVELOPMENT",6,"strong","In progress","SDG 2","initiative, kpi","✓","","Coromandel conducted 56,222 farmer education sessions in 2018-19.","In 2018-19, 56222 farmer education sessions/meetings were carried out."
2019,82,"RESEARCH AND DEVELOPMENT",6,"strong","Planned","SDG 13, SDG 15","initiative, target","✓","✓","A district-level program, Green Visakha, aims to achieve 60% green cover in Vizag by 2029.","• Green Visakha: District level social responsibility program for developing green cover (60% by 2029) in Vizag was initiated by Parliamentary standing sub-committee for environment, sponsored by District Collector Visakhapatnam."
2019,82,"RESEARCH AND DEVELOPMENT",6,"strong","In progress","SDG 12","policy, initiative","✓","","Coromandel recycles off-spec materials, representing 8% of production volume.","Coromandel completely reprocesses or recycles the off-spec materials which include fines and over size products that get generated in the fertilizer granulation process, which constitutes to 8% of production volume in 2018-19"
2019,27,"25 Corporate Overview |  Management Reports  |  Financial Statements",6,"strong","In progress","SDG 6","policy, initiative","","✓","The company highlights government support for water-efficient irrigation practices and water-soluble fertilizers.","Central and State governments’ support towards drip and micro- irrigation adoption to improve the resource use efficiency and promote water soluble fertiliser usage"
