"Year","Page","Score","Confidence","Stage","SDGs","Summary"
2024,67,2,0.9,"mention_only","SDG 15","Coromandel states its commitment to biodiversity conservation, aiming for a net positive impact and no net loss in ecosystems."
2025,102,1,0.9,"mention_only","SDG 3","This is a stated goal related to health and well-being."
2019,2,1,0.8,"mention_only","SDG 2, SDG 12, SDG 13","The company acknowledges the challenge of producing enough food sustainably to meet growing population needs and environmental concerns."
2019,82,2,0.8,"mention_only","SDG 3, SDG 8, SDG 12","Coromandel has an Environment, Quality, Occupational Health and Safety Policy."
2019,27,1,0.8,"mention_only","SDG 3","The company prioritizes employee health and safety due to the nature of their operations."
2019,24,2,0.8,"mention_only","SDG 6, SDG 12","The company identifies resource use efficiency as a key driver in future farming practices, mentioning micro-irrigation and farm mechanization as examples."
2020,5,1,0.8,"mention_only","SDG 2, SDG 12, SDG 15","The organic fertiliser market is growing due to increased awareness of sustainable farming and demand for organic produce."
2020,5,1,0.8,"mention_only","SDG 12","The company notes that consumers are increasingly interested in sustainable and environmentally friendly products."
2020,5,2,0.8,"mention_only","SDG 2","India faces significant crop loss due to pests, diseases, and inadequate use of CPC, creating a growth opportunity for the industry."
2020,5,1,0.8,"mention_only","SDG 2, SDG 12, SDG 15","The company mentions the importance of promoting sustainable agricultural practices."
2021,1,1,0.8,"mention_only","SDG 2, SDG 12, SDG 15","Coromandel claims to be the largest producer of neem-based biopesticides globally and the largest marketer of organic fertilizers in India."
2021,47,2,0.8,"mention_only","SDG 8, SDG 10","Coromandel International Limited has a policy on Corporate Social Responsibility to guide initiatives that contribute to inclusive growth and equitable development."
2021,47,2,0.8,"mention_only","SDG 8","The company specifically focused on prohibiting child labor."
2022,24,1,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company states its strategic and operational imperatives are designed to contribute to the SDGs."
2022,24,1,0.8,"mention_only","SDG 3","The company prioritizes employee well-being as a means to achieve sustainability goals."
2022,24,2,0.8,"mention_only","SDG 11","The company engages in community development to inspire employee commitment and shared values."
2022,24,2,0.8,"mention_only","SDG 2","The company's products aim to address the nutritional needs of crops and protect them from harm."
2022,14,1,0.8,"mention_only","SDG 2, SDG 12","The company aims to provide farmers with safe and environmentally friendly solutions."
2022,24,1,0.8,"mention_only","SDG 16","The company promotes ethical conduct and integrity among its employees."
2022,24,1,0.8,"mention_only","SDG 16","Ethical and lawful business conduct is a fundamental principle for the company."
2022,24,2,0.8,"mention_only","SDG 2, SDG 12","The company collaborates with government and industry stakeholders on policy issues related to agriculture."
2023,27,1,0.8,"mention_only","SDG 13","Coromandel states its commitment to ecological harmony and sustainable practices for environmental protection."
2023,106,2,0.8,"mention_only","SDG 13, SDG 12, SDG 8","The company outlines three pillars for sustainability: Protecting the Planet, Minimizing Resource Use, and Inclusive Growth."
2023,70,1,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 8, SDG 10, SDG 12, SDG 13, SDG 15, SDG 16, SDG 17","The company states its commitment to achieving environmental, social, and governance objectives."
2023,70,1,0.8,"mention_only","SDG 15","The company emphasizes the importance of biodiversity conservation near its factories."
2023,49,2,0.8,"planned_action","SDG 13","The company states its commitment to responsible resource use and minimizing its carbon footprint."
2023,29,1,0.8,"mention_only","SDG 2, SDG 15","The company aims to offer products that minimize environmental impact, preserve soil, and support farmers."
2023,64,2,0.8,"mention_only","SDG 12, SDG 13, SDG 15","The growing awareness of sustainability and environmental issues is leading to stricter regulations, particularly in Europe."
2023,119,2,0.8,"mention_only","SDG 3, SDG 4","The Murugappa Group prioritizes education and healthcare as core focus areas for their philanthropic efforts."
2023,119,2,0.8,"mention_only","SDG 3, SDG 6","Coromandel aims to provide access to basic necessities like healthcare, drinking water, and sanitation."
2023,119,2,0.8,"mention_only","SDG 1, SDG 8","Coromandel aims to eradicate hunger and poverty through livelihood generation and skill development."
2023,119,2,0.8,"mention_only","SDG 13, SDG 15","Coromandel supports environmental and ecological balance through initiatives like afforestation, soil conservation, and rainwater harvesting."
2024,35,1,0.8,"mention_only","SDG 13","This is one of the three core pillars of Coromandel's ESG strategy."
2024,40,1,0.8,"mention_only","SDG 2","The company aims to improve agricultural productivity by providing quality farm solutions."
2024,37,2,0.8,"mention_only","SDG 2, SDG 12","Coromandel's products comply with relevant regulations for fertilizers and insecticides."
2024,120,2,0.8,"mention_only","SDG 1, SDG 4, SDG 8","The company aims to empower disadvantaged groups through education and financial services."
2024,120,2,0.8,"mention_only","SDG 3, SDG 6","The company aims to provide access to basic necessities like healthcare, water, and sanitation."
2024,120,2,0.8,"mention_only","SDG 1, SDG 8","The company aims to eradicate hunger and poverty through livelihood creation and skill development."
2024,120,2,0.8,"mention_only","SDG 13, SDG 15","The company aims to support environmental balance through various initiatives."
2024,37,2,0.8,"mention_only","SDG 17","The company emphasizes stakeholder engagement in identifying and prioritizing material issues."
2024,34,2,0.8,"mention_only","SDG 12, SDG 15","Coromandel prioritizes sustainable practices and eco-friendly products in its agricultural solutions."
2024,34,2,0.8,"mention_only","SDG 12, SDG 15","Coromandel strives to integrate sustainability throughout its agricultural operations."
2025,39,1,0.8,"mention_only","SDG 13, SDG 15","Coromandel expresses a commitment to protecting natural ecosystems and environmental responsibility."
2025,45,2,0.8,"mention_only","SDG 2, SDG 12, SDG 15","The company aims to improve agricultural practices through innovation."
2025,45,2,0.8,"mention_only","SDG 16, SDG 17","The company prioritizes ethical and transparent business practices."
2025,45,2,0.8,"mention_only","SDG 2, SDG 16","The company actively participates in shaping agricultural policy."
2025,102,2,0.8,"mention_only","SDG 3, SDG 12","The company prioritizes safe agricultural inputs and product management."
2025,102,1,0.8,"mention_only","SDG 13, SDG 12","The company states its commitment to climate resilience and responsible resource management."
