"Year","Page","Score","Strength","Stage","SDGs","Tags","Summary","Text"
2025,102,9,"strong","Measurable","SDG 13","initiative, kpi, measured_outcome","The company achieved a 13% reduction in its Scope 1 & 2 carbon footprint.","This year, we successfully reduced our carbon footprint (Scope 1 & 2) by 13% through energy efficiency measures and increased share of energy utilizing waste heat recovery."
2019,82,8,"strong","In progress","SDG 13, SDG 15","initiative, measured_outcome","Coromandel, through the Green Visakha initiative, developed green cover on 22 acres of land with 20,000 plants, contributing to the district's 43% green cover.","Visakhapatnam Unit has developed green cover in 22 acers(20,000 plants) of land with the help of District Forest Officer & VUDA through ‘Green Visakha’ initiative. The Vizag district is now covered with 43% green cover."
2019,27,8,"strong","Measurable","SDG 3","kpi, measured_outcome","The company's Total Recordable Injury Rate (TRIR) per million man hours was 0.48 during the year.","During the year, the Total Recordable Injury Rate (TRIR) per million man hours stood at 0.48."
2020,41,8,"strong","Measurable","SDG 7, SDG 12","kpi, measured_outcome","Coromandel increased waste heat power generation from 33% to 37.7% in 2019-20.","Power generated from waste heat at Vizag unit amounted to 33% in 2018-19, increased to 37.7% in 2019-20 after successful commissioning of 6.5 MW TG-II during the year"
2020,5,8,"strong","Measurable","SDG 1","policy, target","The government has set minimum support prices for agricultural products at 1.5 times the cost of cultivation.","On the income side, Minimum Support Prices have been set at 1.5 times the cost of cultivation."
2020,5,8,"strong","Measurable","SDG 8, SDG 12","initiative, measured_outcome","The Vizag and Ennore units received the CII EHS Excellence Award and a 3-star rating.","Vizag and Ennore units of your Company have won the CII EHS Excellence Award from Southern Region and have been rated 3 stars."
2021,47,8,"strong","Measurable","SDG 7, SDG 13","initiative, measured_outcome","The company utilizes waste heat from sulfuric acid plants to power fertilizer manufacturing, reducing its carbon footprint by 50%.","Fertilizer manufacturing operations at Vizag and Ennore units use 50 % of its energy from the waste heat recovered from its captive Sulphuric acid plants, further reducing carbon footprint of the organization."
2021,1,8,"strong","Measurable","SDG 15","initiative, measured_outcome","Coromandel, in partnership with EGREE foundation, has created a bird sanctuary recognized by global agencies.","In collaboration with the EGREE foundation, our Kakinada plant surroundings have become the largest breeding site in the East Godavari district for a variety of bird species and has been recognised by global agencies like UNDP and Discovery."
2021,47,8,"strong","Measurable","SDG 7","kpi, measured_outcome","The company implemented various energy-saving measures, resulting in reduced power consumption and energy savings.","During the year 2020-21, the Company has: • Reduced the specific power consumption by 3.9 kWh/ MT at Ennore Unit • Reduced the specific power consumption by 1.31 kWh/ MT at Kakinada Unit • Reduced the specific power consumption in the GSSP unit from 12 to 11 units through production and power factor improvement • Achieved about 370097 KWH of energy saving achieved by installation of energy efficient motors, cooling tower pumps, E-Glass Proxy FRP Fans, BLDC ceiling fan, steam operated pressure powered pump unit (PPPU) in Malathion & MEE at Ankleshwar Plant • Installed Solar streetlights at Dahej Unit along the periphery of the plant and all the industrial lighting fixtures are converted to energy efficient LED"
2022,24,8,"strong","In progress","SDG 13, SDG 15","initiative, measured_outcome","The company participated in a tree planting initiative, planting 225,000 saplings.","As an active and passionate participant of Green Visakha, we undertook the plantation of 2,25,000 saplings in various locations within and around Visakhapatnam, including the Andhra University Campus, Atchutapuram SEZ, ITBP Site, and VIMS Hospital."
2023,53,8,"strong","Measurable","SDG 13","initiative, measured_outcome","Coromandel has achieved 44% green cover on its factory premises.","As a result of these efforts, the organization has achieved an impressive 44% of its total area under green cover."
2023,53,8,"strong","Measurable","SDG 13, SDG 15","initiative, measured_outcome","Coromandel planted 225,000 saplings as part of the Green Visakha program.","As an enthusiastic and dedicated participant in the Green Visakha program, Coromandel took part in planting 2,25,000 saplings across different locations within and around Visakhapatnam."
2023,116,8,"strong","Measurable","SDG 7","initiative, measured_outcome","The company installed solar street lighting at their Visakhapatnam plant to save on energy costs.","Solar Street lighting (Visakhapatnam Plant) Installation of solar street lighting within plant premise (Cost incurred: ~INR 7.1 Lakhs) Green energy and annual cost savings"
2023,116,8,"strong","Measurable","SDG 7","initiative, measured_outcome","The company replaced existing lights with LED lights to reduce energy consumption and save costs.","Replacement of existing lights with LED Lights Replacement of metal halides & compact fluorescent lamps with LED lights within plant premise and administration building (Cost incurred: ~INR 5 Lakhs) Less energy consumption leading to annual cost savings as well and improved luminosity"
2023,116,8,"strong","Measurable","SDG 3, SDG 7, SDG 11","initiative, measured_outcome","The company provided bicycles to employees to encourage sustainable commuting.","Bicycles for all employees for commuting 660 no’s bicycles distributed to employees for commuting to and from the workplace. Zero emissions, lower maintenance cost, healthier workforce"
2023,116,8,"strong","Measurable","SDG 7, SDG 12","initiative, measured_outcome","The company upgraded their instrument air piping system to conserve energy and reduce costs.","Higher pipe size instrument air piping Instrument airline (from Utilities to Complex, Utilities to Sulphuric Acid, Phosphoric acid and ETP plants) size increased. 2 numbers of Instrument Air Receivers installed to increase air hold up capacity and reduce instrument air pressure drop in the system. (Cost incurred: ~INR 80 Lakhs) Energy conserved, annual cost savings, smooth operation of instrument air compressors, lower pressure drop and operating cost of instrument air system"
2023,106,8,"strong","Measurable","SDG 4, SDG 3, SDG 11","initiative, measured_outcome","The company's CSR initiatives have positively impacted over 59,000, 644,000, and 487,000 people in education, health, and community development.","Coromandel’s CSR initiatives across the areas of Education, Health and Community Development have enhanced and positively impacted the lives of more than ~59000, ~644000 and ~487000 people respectively."
2023,68,8,"strong","Measurable","SDG 5","initiative, measured_outcome","The company provided scholarships and career counseling to 2,201 girls through its education scheme.","Through the scheme, the company has provided scholarships and career counselling to 2,201 girls."
2023,68,8,"strong","Measurable","SDG 4","initiative, measured_outcome","Udbhav School, supported by Coromandel, achieved a 98% pass rate in class X board exams.","Udbhav School, which provides quality education to the economically weaker sections and supported by Coromandel, continued to deliver strong results and recorded 98% pass percentage in class X board exams conducted by Telangana State Board of Secondary Education."
2024,67,8,"strong","Measurable","SDG 15","measured_outcome, initiative","Coromandel's efforts have resulted in 44% of its factory premises being covered in green space.","These efforts have led to achieving an impressive 44% of total area under green cover."
2025,74,8,"strong","Measurable","SDG 7, SDG 12","kpi, measured_outcome","Coromandel reduced its thermal energy consumption by 19% in FY24-25.","For FY24-25, overall thermal energy consumption for the company reduced by 19%, despite higher production volumes."
2025,74,8,"strong","Measurable","SDG 7, SDG 12","kpi, measured_outcome","Coromandel reduced its electricity consumption by 3.5% in FY24-25.","Similarly, electricity consumption was down by 3.5%."
2025,102,8,"strong","Measurable","SDG 3, SDG 4, SDG 10","initiative, measured_outcome","Coromandel provided support to over 1 million beneficiaries in education, health, and community development.","During the year, it extended support to over 1 million beneficiaries in the areas of education, health and community development."
2025,82,8,"strong","Measurable","SDG 9, SDG 12","initiative, measured_outcome","Coromandel managed 18,093 MT of plastic waste, equivalent to its annual footprint, through authorized channels.","During FY 2024–25, Coromandel ensured that an amount of plastic waste equivalent to its annual plastic packaging footprint estimated at 18,093 MT an increase of approximately 11% compared to the previous year, while maintaining 100% EPR compliance was responsibly managed through authorised channels."
2025,79,8,"strong","Measurable","SDG 13","kpi, measured_outcome","Coromandel reduced its use of HCFC 22 by 0.16 metric tons in FY 2024-25.","The total recharge quantity for ODS HCFC 22 in FY 2024– 25 stood at 0.52 Metric Tons, marking a notable reduction from 0.68 Metric Tons in the previous year."
2025,79,8,"strong","Measurable","SDG 6","target, measured_outcome","Coromandel has achieved Zero Liquid Discharge at 12 of its units.","Coromandel’s efforts include achieving Zero Liquid Discharge at 12 units, ensuring that no industrial effluents leave the plant boundaries."
