"Year","Page","Score","Strength","Stage","SDGs","Tags","Summary","Text"
2022,19,9,"strong","Measurable","SDG 7, SDG 12","target, measured_outcome","JSW Steel Salem achieved its energy efficiency targets under the PAT scheme, verified by a third party.","JSW Steel Salem- PAT Cycle-III- FY20- Target Achieved as per the 3rd party verification."
2022,13,9,"strong","Measurable","SDG 8","initiative, target, measured_outcome","The company underwent British Safety Council audits, with one plant achieving a 5-star rating.","• British safety council Audits were initiated at our plants. Salem unit become the first ISP in the world to be recognised with 5 Star rating."
2020,114,8,"strong","Measurable","SDG 13, SDG 15","initiative, measured_outcome","The company has undertaken plantation activities in collaboration with the Karnataka State Forest department, resulting in increased forest cover.","Plantation activities in adjoining reserve forest along with the Karnataka State Forest department Land development and forest cover increase; 33% land developed with plantation"
2020,114,8,"strong","Measurable","SDG 13, SDG 14, SDG 15","initiative, measured_outcome","The company planted 349,970 mangrove saplings as part of a recognized project, which benefits farmers by protecting agricultural land.","Planted 3,49,970 mangrove saplings as a part of the Mangrove Restoration Project, which has also been recognised by India Business and Biodiversity Initiative (IBBI) Benefits to farmers as mangroves hold the soil and prevent ingress of salt water into agricultural land"
2022,19,8,"strong","Measurable","SDG 7, SDG 12","target, measured_outcome","JSW Steel Vijayanagar achieved its energy efficiency targets under the PAT scheme.","JSW Steel Vijayanagar- PAT Cycle-II- FY19- Target Achieved"
2023,4,8,"strong","Measurable","SDG 6","initiative, measured_outcome","The company states its Zero Liquid Discharge (ZLD) status and its benefits.","We uphold our Zero Liquid Discharge (ZLD) status across all our steel manufacturing locations. Following the ZLD process, we have achieved cost savings, mitigated water acquisition risks and achieved overall better environmental performance and compliance."
2024,48,8,"strong","In progress","SDG 13","kpi, target, measured_outcome","The company reports its CO2 emission intensity, reduction targets, and progress towards carbon neutrality.","‘000 tCO2 CO2 emission intensity tCO2/tcs 2.36 FY23 2.50 FY22 2.44 FY24 2.44 tCO2/tcs Specific CO2 emissions from our three ISPs 28% Reduction compared to the baseline of 2005 0.26 tCO2/tonne of product* Carbon footprint of JSW Steel Coated Products Target 2030 FY 2023-24 Progress Reducing specific CO2 emissions from our three ISPs to < 1.95 tCO2/tcs Achieving carbon neutrality at JSW Steel Coated Products 49,359.39 FY23 44,211.31 FY22 53,167.64 FY24 * Equivalent product for Vasind, Tarapur and Kalmeshwar Net Neutral by 2050"
2024,48,8,"strong","Measurable","SDG 13","kpi, measured_outcome","The company reports avoided emissions of 5.25 million tCO2 and total emissions of 12.22 million tCO2 across various categories.","During the reporting period, we had a credit due to avoided emissions of about 5.25 million tCO2 in the categories of Use of Sold Products and Processing of Sold Products, as per the guidance of Worldsteel. The following categories contributed around 12.22 million tCO2 emissions: ∞Purchased goods and services ∞Fuel & Energy related activities ∞Upstream transportation and distribution ∞Waste generated in operation ∞Business travel ∞Employee commute ∞Downstream transportation and distribution The Scope 3 emissions of all applicable categories were calculated in accordance with the technical guidance for calculating Scope 3 emissions issued by the GHG protocol."
2024,76,8,"strong","In progress","SDG 3","measured_outcome, initiative","AI-powered screenings reached 7,500 individuals, with 23% testing presumptive positive for tuberculosis.","Harnessing cutting-edge AI technology, we have conducted screenings that have reached 7,500 individuals. Alarmingly, 23% of those screened were identified as presumptive positive cases—double the national average of 0.5% of active TB cases per 1,00,000 population, reported by the National Tuberculosis Elimination Programme (NTEP)."
2024,63,8,"strong","Measurable","SDG 3, SDG 7","initiative, measured_outcome","The company provided solar energy backup to Primary Health Centres in Vijaynagar, ensuring reliable energy for healthcare services.","Interventions Outcomes VIJAYANAGAR Energy security for community Primary Health Centres (PHCs) through the provision of solar energy backup Allows local communities to access reliable and efficient energy systems for the delivery of community health services in an uninterrupted manner"
2024,63,8,"strong","Measurable","SDG 6","initiative, measured_outcome","The company renovated a water pond in Nandihalli, significantly increasing its water holding capacity.","Renovation of water pond at Nandihalli Significant increase in the water holding capacity, with an additional 12,000 cubic metres"
